Advance Diploma in Child Guidance and Counselling   (1 Years )
Amity-Merck Certificate programe in Advanced Technique and Instrumentation in Biological Sciences   (0.5 Years )
"B.A.,LL.B (Hons)   (5 Years )"
B.A. (Acting)   (3 Years )
B.A. (Acting) (Honours/Honours with Research)   (4 Years )
B.A. (Administration)   (3 Years )
B.A. (Administration) (Honours/Honours with Research)   (4 Years )
B.A. (Applied Psychology) (Honours/Honours with Research)   (4 Years )
B.A.B.Ed.Spl.Ed.(ID-PS) ISITEP   (4 Years )
B.A. (Business Economics) (Honours/Honours with Research)   (4 Years )
Bachelor of Architecture   (5 Years )
Bachelor of Arts. Bachelor of Education Special Education (Intellectual Disability - Middle Stage)   (4 Years )
Bachelor of Arts (Psychology) (Honours/Honours with Research)   (4 Years )
Bachelor of Audiology & Speech Language Pathology   (4 Years )
Bachelor of Business Administration (Honours/Honours with Research)   (4 Years )
Bachelor of Computer Applications (Honours/Honours with Research)   (4 Years )
Bachelor of Fashion Technology   (4 Years )
Bachelor of Fine Arts   (4 Years )
Bachelor of Hotel Management   (4 Years )
Bachelor of Interior Design   (4 Years )
Bachelor of Occupational Therapy   (4 Year + 6 months Internship Years )
Bachelor of Optometry   (4 Years )
Bachelor of Performing Arts - Hindustani Music (Vocal)   (4 Years )
Bachelor of Performing Arts - Instrumental Music (Sitar/Violin)   (4 Years )
Bachelor of Performing Arts (Tabla)   (4 Years )
Bachelor of Pharmacy   (4 Years )
Bachelor of Physical Education & Sports   (3 Years )
Bachelor of Physiotherapy   (4 Year + 6 months Internship Years )
Bachelor of Physiotherapy   (4.5 Years )
Bachelor of Planning   (4 Years )
Bachelor of Science (Bioinformatics) (Honours/Honours with Research)   (4 Years )
Bachelor of Science (Geology) (Honours/Honours with Research)   (4 Years )
Bachelor of Science (Human Genetics and molecular medicine) (Honours/Honours with Research)   (4 Years )
Bachelor of Science (Nutrition & Dietetics) (Honours/Honours with Research)   (4 Years )
Bachelor of Social Work   (3 Years )
Bachelor of Social Work (Honours/Honours with Research)   (4 Years )
Bachelor of Statistics   (3 Years )
Bachelor of Statistics (Honours/Honours with Research)   (4 Years )
Bachelor of Tourism & Travel Management   (4 Years )
B.A. (Defence & Strategic Studies) (Honours/Honours with Research)   (4 Years )
B.A. (Economics) (Honours/Honours with Research)   (4 Years )
"B.A. (English, Psychology & Political Science)   (3 Years )"
B.A. (English) (Honours/Honours with Research)   (4 Years )
"B.A. (Film, Television & Web Series)   (3 Years )"
"B.A. (Film, Television & Web Series) (Honours/Honours with Research)   (4 Years )"
"B.A. (Film, TV & OTT Production) (Honours/Honours with Research)   (4 Years )"
B.A. (Film Making) (Honours/Honours with Research)   (4 Years )
B.A. (Film & Television Production)   (3 Years )
B.A. (French) (Honours/Honours with Research)   (4 Years )
B.A. (Game Design & Development)   (3 Years )
B.A. (Game Design & Development) (Honours/Honours with Research)   (4 Years )
B.A. (General) (Honours/Honours with Research)   (4 Years )
B.A. (Geography) (Honours/Honours with Research)   (4 Years )
B.A. (German) (Honours/Honours with Research)   (4 Years )
B.A. (History) (Honours/Honours with Research)   (4 Years )
B.A. (Hons) - Applied Psychology   (3 Years )
B.A. (Hons) - Applied Psychology (3 Continent)   (3 Years )
B.A. (Hons) - Applied Psychology & Behavioural Sciences   (4 Years )
B.A. (Hons) - Applied Psychology (International)   (3 Years )
B.A. (Hons) - Business Economics   (3 Years )
B.A. (Hons) - Economics   (3 Years )
B.A. (Hons) - English   (3 Years )
B.A. (Hons) - French   (3 Years )
B.A. (Hons) - Geography   (3 Years )
B.A. (Hons) - German   (3 Years )
B.A. (Hons) History   (3 Years )
B.A. (Hons) - International Relations   (3 Years )
B.A. (Hons) International Relations (3 Continent)   (3 Years )
B.A. (Hons) - Political Science   (3 Years )
"B.A. (Hons) - PPE Philosophy,Politics & Economics   (3 Years )"
B.A.(Hons) - Psychology   (3 Years )
B.A. (Hons) - Public Administration   (3 Years )
B.A. (Hons) - Sociology   (3 Years )
B.A. (Hons) - Spanish   (3 Years )
